Emu on the loose! Georgia deputies find big bird by highway | A big bird spotted running amok beside a Georgia highway is headed to a new home where it won’t endanger traffic. Sheriff’s deputies in Brooks County got a call about an escaped emu posing a potential hazard along Highway 133. The large, flightless bird was safely rounded up within a couple of hours Wednesday, WCTV-TV reported. A photo posted by the Brooks County Fire Department on Facebook showed deputies standing around a large animal cage containing the bird. The post read: “The emu has been captured!” Authorities said they had found the emu a new home. The emu is one of the world’s largest bird species.
Cheers! French wine, vines headed home after year in space | The International Space Station bid adieu Tuesday to 12 bottles of French Bordeaux wine and hundreds of snippets of grapevines that spent a year orbiting the world in the name of science. SpaceX’s Dragon cargo capsule undocked with the wine and vines — and thousands of pounds of other gear and research, including mice — and aimed for a splashdown Wednesday night in the Gulf of Mexico off the coast of Tampa. The Atlantic had been targeted, but poor weather shifted the arrival to Florida’s other side. SpaceX’s supply ships previously parachuted into the Pacific. The carefully packed wine — each bottle nestled inside a steel cylinder to prevent breakage — remained corked aboard the orbiting lab. Space Cargo Unlimited, a Luxembourg startup behind the experiments, wanted the wine to age for an entire year up there. None of the bottles will be opened until the end of February. That’s when the company will pop open a bottle or two for an out-of-this-world wine tasting in Bordeaux by some of France’s top connoisseurs and experts. Months of chemical testing will follow. Researchers are eager to see how space altered the sedimentation and bubbles. Agricultural science is the primary objective, stresses Nicolas Gaume, the company’s CEO and co-founder, although he admits it will be fun to sample the wine. He’ll be among the lucky few taking a sip. “Our goal is to tackle the solution of how we’re going to have an agriculture tomorrow that is both organic and healthy and able to feed humanity, and we think space has the key,” Gaume said from Bordeaux. With climate change, Gaume said agricultural products like grapes will need to adapt to harsher conditions. Through a series of space experiments, Space Cargo Unlimited hopes to take what’s learned by stressing the plants in weightlessness and turn that into more robust and resilient plants on Earth. There’s another benefit. Gaume expects future explorers to the moon and Mars will want to enjoy some of Earth’s pleasures. “Being French, it’s part of life to have some good food and good wine,” he told The Associated Press. Gaume said private investors helped fund the experiments. He declined to provide the project cost. The wine hitched a ride to the space station in November 2019 aboard a Northrop Grumman supply ship. The 320 Merlot and Cabernet Sauvignon vine snippets, called canes in the grape-growing business, were launched by SpaceX last March. SpaceX is the only shipper capable of returning space station experiments and other items intact. The other cargo capsules are filled with trash and burn up when reentering Earth’s atmosphere. 
Pandemic restrictions a business boon for some Iraqi women | Fatima Ali was in her final year studying to become a medical analysis specialist when Iraq imposed a full lockdown in March. Forced by a raging pandemic to stay home, she spent her days on social media, looking for something to do with her time. Then an idea came to her: Six years ago, visiting America on a young leaders exchange program, she and other students toured a Vermont cheese factory where aged cheese platters were displayed on wooden boards so inviting they looked like paintings. “I liked it … I said to myself, why not be the first to do it in Baghdad?” She took a free online business course and researched cheeses and wooden plates available in the Iraqi capital. Months later, 22-year-old Ali is successfully marketing her cheese boards, making a small but steady income and garnering over 2,000 Instagram followers. A growing number of Iraqi women are using pandemic restrictions to establish home-based businesses. It’s a way to bypass discrimination and harassment that often come with working in Iraq’s male-dominated, conservative society — and bring in extra income as the economy worsens. On a recent day in her kitchen, Ali cut up and arranged cheeses, dried fruit and nuts as she talked about her further dreams. She wants to go to culinary school abroad and one day open a school in Iraq for those “who have passion for cooking, like me.” “This is just the beginning. I’m still developing myself,” she said. The slogan on her purple T-shirt declared, “You Have to Love Yourself.” Rawan Al-Zubaidi, a business partner at an Iraqi NGO that supports start-ups and young entrepreneurs, said there’s been a noticeable increase in home-based businesses since the pandemic’s start, including women making food deliveries, sweets, accessories, crocheting and embroidering. “It represents a solution to obstacles that Iraqi women face when trying to find a job,” she said, citing women whose husbands or fathers won’t let them work, unsupportive male colleagues, discrimination and lack of career growth opportunities. “Some Iraqi women can’t find a job because conservative families or husbands consider that women talking directly with other men on the job will bring shame on them,” Rawan said. Women’s labor force participation in Iraq is particularly low. As of 2018, only 12.3% of women of working age were employed or looking for work, according to the United Nations. Tamara Amir, who manages a Facebook page to educate Iraqi women about their rights, said she receives dozens of calls each day from women facing sexual harassment at work. Often, they report feeling they have to give their male boss “something in return” to get a job or advancement. Ali’s parents have been supportive of her home-based business, which she says is more secure and means she does not have to go outside and mix with people. Her mother helps her prepare her products, and Ali teamed up with a popular delivery app. At first, she received two orders a week maximum. Now she can barely keep up with the multiple orders she gets every day. Mariam Khzarjian, a 31-year-old Iraqi-Armenian, worked as an executive assistant in an engineering company for seven years. She quit in late 2018, feeling her career was going nowhere, and started her own home business selling handmade accessories inspired by her ancestors, who used to work as carpenters. She called her business Khzar — Armenian for the art of cutting metals and woods — with the slogan “wear a story,” since Khzar designs are based on telling stories and building emotional communication with the clients. She got off to a slow start. Distractions got in the way. But the pandemic forced her to focus, working on new designs and techniques during curfews. The move toward online shopping helped her business take off in a way she could not have imagined. “Online became the only way to reach clients, and they in turn became more loyal and more confident about my art, because they are buying something without trying it,” Khzarjian said. “Corona is terrible, but for those able to take advantage of the internet and build connections with customers, it had its positive side,” she said. Sara al-Nedawi, 23, studied business administration and has tried to find a job for months. “One day I sent my CV to a company, and they texted me to ask if I was pretty and whether I wear the hijab or not,” she said, referring to the headscarf worn by some Muslim women. Someone from another company she applied to called her to get more information, then told her she has a lovely voice and asked for a photo. Now she is trying to start a home-based food-catering business but lacks the capital. “I need to work first to collect enough money,” she said.
Should I get a COVID-19 vaccine if I’ve had the virus? | Should I get a COVID-19 vaccine if I’ve had the virus? Yes. Regardless of previous infection, the U.S. Centers for Disease Control and Prevention says people should plan on getting vaccinated when it’s their turn. “It’s a pretty straightforward question,” said Johns Hopkins infectious disease specialist Dr. Amesh Adalja. “Yes, you need to get vaccinated.” After someone recovers, their immune system should keep them from getting sick again right away. “Your immune system is able to identify the virus, and protect itself,” said Dr. Saskia Popescu, an infectious disease expert at George Mason University. Scientists still don’t know exactly how long this immunity lasts or how strong it is, though recent research suggests the protection could last for several months. It’s impossible to know how long a person might be immune, said Dr. Prathit Kulkarni, an infectious disease expert at Baylor College of Medicine. “There’s no way to calculate that.” Vaccines, by contrast, are designed to bring about a more consistent and optimal immune response. And they should boost whatever preexisting immunity a person might have from an infection, experts say. “Since we’re in this pandemic, and don’t have a handle on it, the safer approach is to vaccinate,” Kulkarni said. “You don’t lose anything and you stand to benefit.” If you’ve been infected in the last three months, the CDC says it’s OK to delay vaccination if you want to let others go first while supplies are limited. “All things being equal you would want the person with no protection to go first,” Adalja said.
Identical twins aren’t perfect clones, research shows | If you’re an identical twin who’s always resisted being called a clone of your sibling, scientists say you have a point. Identical twins are not exactly genetically the same, new research shows. Scientists in Iceland sequenced DNA from 387 pairs of identical twins — those derived from a single fertilized egg — as well as from their parents, children and spouses. That allowed them to find “early mutations that separate identical twins,” said Kari Stefansson, a geneticist at the University of Iceland and the company deCODE genetics, and co-author of the paper published Thursday in the journal Nature Genetics. A mutation means an alteration in a sequence of DNA — a tiny change that is not inherently good or bad, but can influence physical features or susceptibility to certain diseases. They can occur when a cell divides and makes a slight error in replicating DNA. On average, identical twins have 5.2 of these early genetic differences, the researchers found. But about 15% of identical twin pairs have more genetic differences, some of them up to 100, said Stefansson. These differences represent a tiny portion of each twin’s genetic code, but they could influence why one twin is taller or why one twin is at greater risk for certain cancers. Previously, many researchers believed that physical differences between identical twins were related mostly to environmental factors, such as nutrition or lifestyle. Jan Dumanski, a geneticist at Uppsala University in Sweden, who was not involved in the new paper, praised it as “a clear and important contribution” to medical research. “The implication is that we have to be very careful when we are using twins as a model” for teasing apart the influences of nature and nurture, he said. Previous studies, including a 2008 paper in The American Journal of Human Genetics, have identified some genetic differences between identical twins. The new study goes beyond earlier work by including DNA of parents, children and spouses of identical twins. That allowed the researchers to pinpoint when genetic mutations occurred in two different kinds of cells — those present in just one individual and those inherited by that person’s children. They also found mutations that occurred before the developing embryo split into two, setting the stage for twins. Stefansson said that his team had found pairs of twins where a mutation is present in all cells of the body of one twin, but not found in the other twin at all. However, “sometimes the second twin may show the mutation in some cells, but not all cells,” he said. Nancy Segal, a psychologist who studies twins at California State University, Fullerton and was not involved in the paper, called the research “heroic and really significant.” “This will force scientists to refine our thinking about the influences of genetics and environment,” she said. “Twins are very alike, but it is not a perfect similarity.”
Japanese spacecraft’s gifts: Asteroid chips like charcoal | They resemble small fragments of charcoal, but the soil samples collected from an asteroid and returned to Earth by a Japanese spacecraft were hardly disappointing. The samples Japanese space officials described Thursday are as big as 1 centimeter (0.4 inch) and rock hard, not breaking when picked up or poured into another container. Smaller black, sandy granules the spacecraft collected and returned separately were described last week. The Hayabusa2 spacecraft got the two sets of samples last year from two locations on the asteroid Ryugu, more than 300 million kilometers (190 million miles) from Earth. It dropped them from space onto a target in the Australian Outback, and the samples were brought to Japan in early December. The sandy granules the Japan Aerospace Exploration Agency described last week were from the spacecraft’s first touchdown in April 2019. The larger fragments were from the compartment allocated for the second touchdown on Ryugu, said Tomohiro Usui, space materials scientist. To get the second set of samples in July last year, Hayabusa2 dropped an impactor to blast below the asteroid’s surface, collecting material from the crafter so it would be unaffected by space radiation and other environmental factors. Usui said the size differences suggest different hardness of the bedrock on the asteroid. “One possibility is that the place of the second touchdown was a hard bedrock and larger particles broke and entered the compartment.” JAXA is continuing the initial examination of the asteroid samples ahead of fuller studies next year. Scientists hope the samples will provide insight into the origins of the solar system and life on Earth. Following studies in Japan, some of the samples will be shared with NASA and other international space agencies for additional research. Hayabusa2, meanwhile, is on an 11-year expedition to another small and distant asteroid, 1998KY26, to try to study possible defenses against meteorites that could fly toward Earth.
Trump says ‘tremendous anger’ in nation over impeachment | Impeachment ahead, the House on Tuesday will first try to convince the vice president and Cabinet to act even more quickly to remove President Donald Trump from office, warning he is a threat to democracy in the remaining days of his presidency. House lawmakers are reconvening at the Capitol for the first time since the deadly pro-Trump riot to approve a resolution calling on Vice President Mike Pence to invoke the 25th Amendment to declare the president unable to serve. Pence is not expected to take any such action. The House would next move swiftly to impeach Trump. Trump told reporters at the White House the prospect of impeachment is causing “tremendous anger” in the nation. But he said he wants “no violence.” The president spoke as he left for Texas to survey the border wall with Mexico. His remarks were his first to reporters since the Capitol attack. He took no questions. On impeachment, Trump said it’s “a really terrible thing that they’re doing.” But he said, “We want no violence. Never violence.” Trump faces a single charge — “incitement of insurrection” — in the impeachment resolution that the House will begin debating Wednesday, a week before Democrat Joe Biden is set to be inaugurated, Jan. 20.The unprecedented events, only the first U.S. president to be twice impeached, are unfolding in a nation bracing for more unrest. The FBI has warned ominously of potential armed protests in Washington and many states by Trump loyalists ahead of Biden’s inauguration. In a dark foreshadowing, the Washington Monument was closed to the public and the inauguration ceremony on the west steps of the Capitol will be off limits to the public. It all added up to stunning final moments for Trump’s presidency as Democrats and a growing number of Republicans declare he is unfit for office and could do more damage after inciting a mob that violently ransacked the U.S. Capitol last Wednesday. A Capitol police officer died from injuries suffered in the riot, and police shot a woman during the violence. Three others died in what authorities said were medical emergencies. “We have to be very tough and very strong right now in defending the Constitution and democracy,” said Rep. Jamie Raskin, D-Md., an author of both pieces of legislation, in an interview. Late Monday, the entire Congressional Hispanic Caucus, all 34 members, unanimously agreed to support impeachment, calling for Trump’s immediate removal. “It is clear that every moment Trump remains in office, America is at risk,” said a statement from the caucus, led by Rep. Raul Ruiz, D-Ca. It said Trump “must be held accountable” for his actions. Democrats aren’t the only ones who say Trump needs to go. Rep. Liz Cheney, R-Wyo., encouraged House GOP colleagues late Monday to “vote your conscience,” according to a person granted anonymity to discuss the private call. She has spoken critically of Trump’s actions but has not said publicly how she will vote. Republican Sen. Pat Toomey of Pennsylvania joined GOP Sen. Lisa Murkowski of Alaska over the weekend in calling for Trump to “go away as soon as possible.” Pence and Trump met late Monday for the first time since the Capitol attack, and had a “good conversation” pledging to continue working for the remainder of their terms, said a senior administration official, who spoke on condition of anonymity to discuss the private meeting. Pence has given no indication he would proceed with invoking the 25th Amendment to remove Trump from office. No member of the Cabinet has publicly called for Trump to be removed from office through the 25th Amendment process. As security tightened, Biden said Monday he was “not afraid” of taking the oath of office outside at the Capitol. As for the rioters, Biden said, “It is critically important that there’ll be a real serious focus on holding those folks who engaged in sedition and threatening the lives, defacing public property, caused great damage -- that they be held accountable.” Biden said he’s had conversations with senators ahead of a possible impeachment trial, which some have worried would cloud the opening days of his administration. Senate Democratic leader Chuck Schumer was exploring ways to immediately convene the Senate for the trial as soon as the House acts, though Republican leader Mitch McConnell would need to agree. The president-elect suggested splitting the Senate’s time, perhaps “go a half day on dealing with impeachment, a half day on getting my people nominated and confirmed in the Senate, as well as moving on the package” for more COVID relief. As Congress resumes, an uneasiness swept government. Another lawmaker, Rep. Pramila Jayapal, D-Wash., announced Tuesday she had tested positive for COVID-19 after sheltering during the siege. Many lawmakers may choose to vote by proxy rather than come to Washington, a process that was put in place last year to limit the health risks of travel. House Republican leader Kevin McCarthy has discouraged GOP lawmakers from using the proxy option. But during a call with them he loosened his strict opposition for this week’s votes, according to a Republican granted anonymity to discuss the private call. Among Trump’s closest allies in Congress, McCarthy said in a letter to colleagues that “impeachment at this time would have the opposite effect of bringing our country together.” He said he would review possible censure of the president. But House Republicans are split and a few may vote to impeach. Democrats say they have the votes for impeachment. The impeachment bill from Reps. David Cicilline of Rhode Island, Ted Lieu of California, Raskin of Maryland and Jerrold Nadler of New York draws from Trump’s own false statements about his election defeat to Biden. Judges across the country, including some nominated by Trump, have repeatedly dismissed cases challenging the election results, and former Attorney General William Barr, a Trump ally, has said there was no sign of widespread fraud. The impeachment legislation also details Trump’s pressure on state officials in Georgia to “find” him more votes, as well as his White House rally ahead of the Capitol siege, in which he encouraged thousands of supporters last Wednesday to “fight like hell” and march to the building. The mob overpowered police, broke through security lines and windows and rampaged through the Capitol, forcing lawmakers to scatter as they were finalizing Biden’s victory over Trump in the Electoral College. While some have questioned impeaching the president so close to the end of his term, Democrats and others argue he must be prevented from holding future public office. There is precedent for pursuing impeachment after an official leaves office. In 1876, during the Ulysses Grant administration, War Secretary William Belknap was impeached by the House the day he resigned, and the Senate convened a trial months later. He was acquitted.
Trump heads to Texas border in final days to showcase wall | After days out of sight following the Capitol siege, President Donald Trump travels to Texas to trumpet one of the pillars of his presidency: his campaign against illegal immigration. Trump will be flying Tuesday to Alamo, Texas, a city in the Rio Grande Valley near the U.S-Mexican border. The city is named after the San Antonio mission where a small group of Texan independence-fighters fended off Mexican forces during a 13-day siege. Most of them died but the mission became a symbol of resistance for Texans, who eventually defeated the Mexican army. Trump’s visit — no doubt a symbol of the president’s defiance — comes as he spends the final days of his presidency isolated, aggrieved and staring down the prospect of a second impeachment after his supporters stormed the U.S. Capitol last week in an effort to halt the peaceful transition of power. Aides have been urging the president to instead use the days he has left in office to highlight what they see as the chief accomplishments of his presidency: a massive tax cut, his efforts to roll back federal regulations and the transformation of federal courts with the appointment of conservative judges. But Trump has repeatedly resisted their efforts as he has remained ensconced in the White House, behind closed doors, consumed by baseless allegations of voter fraud and conspiracies. Indeed, the trip will mark the first time Trump has been seen in public since the speech he delivered to his supporters Wednesday, egging them on to “fight” before the Capitol violence. Trump is expected to deliver remarks highlighting his administration’s efforts to curb illegal immigration and the progress made on his signature 2016 campaign promise: building a “big, beautiful wall” across the length of the southern border — an imposing structure made of concrete and reinforced steel. Over time, Trump demanded modifications that have been largely rejected: He wanted it painted black to burn the hands of those who touched it; he wanted it adorned with deadly spikes; he even wanted to surround it with an alligator-filled moat. In the end, his administration has overseen the construction of roughly 450 miles of border wall construction — likely reaching 475 miles by Inauguration Day. The vast majority of that wall replaces smaller barriers that had already existed, though the new wall is considerably more difficult to bypass. Over the last four years, Trump and his administration have taken extreme — and often unlawful — action to try to curb both illegal and legal immigration. Their efforts were aided in his final year by the coronavirus pandemic, which ground international travel to a halt. But the number of people stopped trying to cross the southern border illegally has been creeping back up in recent months. Figures from December show nearly 74,000 encounters at the southwest border, up 3% from November and up 81% from a year earlier. Mark Morgan, acting commissioner of U.S. Customs and Border Protection, has warned the next administration that easing Trump administration policies, including a halt to wall construction, would lead to a surge of people seeking to cross the border, creating “an unmitigated crisis in the first few weeks.” President-elect Joe Biden has said he’d halt construction of the border wall and take executive action where possible to reverse some of Trump’s restrictions on legal immigration and asylum seekers. But Biden and his aides have acknowledged the possibility of a new crisis at the border if they act too quickly, and Biden has said it could take six months for his administration to secure funding and put in place the necessary infrastructure to loosen Trump-era restrictions. Missing from the trip will be Chad Wolf, Trump’s acting Department of Homeland Security secretary. He abruptly resigned Monday, days after he pledged to serve out Trump’s full term. After the Capitol violence, groups including the Southern Poverty Law Center urged Trump to call off his visit. “The violence Trump incited last week, and the violence his anti-immigrant policies cause stem from the alarming mainstreaming of white nationalist ideology that our country must reckon with and fight to uproot,” said Efrén Olivares, deputy legal director of the center’s Immigrant Justice Project. “The president’s planned trip to the border will only further the harm and beget more violence.”
Doggie desserts: Ben & Jerry’s enters the pet food business | Think your dog deserves dessert? So does Ben & Jerry’s. The venerable Vermont ice cream company said Monday it’s introducing a line of frozen dog treats, its first foray into the lucrative pet food market. Doggie Desserts, sold in 4-ounce cups, go on sale in U.S. groceries and pet stores later this month. The treats come in two flavors: pumpkin with cookies and peanut butter with pretzels. Both are made with a base of sunflower butter. They’re made from the same ingredients Ben & Jerry’s uses in its non-dairy human desserts. Ben & Jerry’s is the latest food company to pivot to pets, sensing opportunity as more Americans acquire furry friends. The number of U.S. households with pets rose 6.5% to 84.9 million between 2015 and 2020, according to the American Pet Products Association, a trade group. General Mills, which makes Cheerios and Haagen-Dazs ice cream, bought the Blue Buffalo pet food brand in 2018. Jelly maker J.M. Smucker Co. bought Big Heart Pet Brands — which makes Meow Mix and Milk Bone — in 2015. Three years later, Smucker acquired Ainsworth Pet Nutrition, which makes Nutrish brand pet food. And in April, Nestle bought British natural pet food brand Lily’s Kitchen. Nestle has owned the Purina brand since 2001. Spending on dog treats has ballooned, jumping 44% to $5.5 billion between 2015 and 2020, according to Euromonitor, a data firm. Millennials in particular spend lavishly on their pets and look for pet products with human-grade ingredients, Ben & Jerry’s said. Lindsay Bumps, a global marketing specialist with Ben & Jerry’s, said the company had been eyeing the exponential growth in pet spending and started developing its dog treats early last year. The company consulted with a veterinary nutritionist, regulatory consultants and others to make sure the treats are safe and easy to digest, said Bumps, who is also a certified veterinary technician. As with any treat, owners should go slow with the introduction, offering a spoonful at a time, Bumps said. She suggested putting the dessert in a bowl so dogs have an easier time navigating it. Bumps’ 9-year-old French bulldog, Spock, is a big fan of the peanut butter flavor. The treats — $2.99 per cup or $4.99 for four — will be placed near the popsicles in grocery store frozen food aisles, a few doors down from Ben & Jerry’s ice cream. The pivot to pets doesn’t mean Ben & Jerry’s is seeing any slowdown on the human side. London-based Unilever, which owns Ben & Jerry’s, said in October that its ice cream sales for home consumption grew more than 10% in the most recent quarter. Rattled consumers sought indulgent treats during the pandemic and stocked up on multiple pints during less frequent grocery trips, Bumps said. “This is an opportunity for people to treat their dogs as they’re treating themselves when they grab a pint off the shelf,” she said.
Ireland to apologize for abuses in unwed mothers’ homes | The Irish government is poised to make a formal apology for abuses in church-run homes for unmarried women and their babies, where thousands of infants died and were sometimes buried in mass graves. The final report of an inquiry into the mother-and-baby homes is to be published Tuesday. Prime Minister Micheal Martin is expected to apologize on behalf of the Irish state later in the week. The Sunday Independent newspaper, which disclosed leaked details of the report, said it found that 9,000 children died in 18 different homes during the 20th century. One in seven of all children born in the homes died, far above Ireland’s nationwide infant mortality rate. Church-run homes in Ireland housed orphans, unmarried pregnant women and their babies for most of the 20th century. The institutions have been subject to intense public scrutiny since historian Catherine Corless in 2014 tracked down death certificates for nearly 800 children who died at the former Bon Secours Mother and Baby Home in Tuam, County Galway — but could only find a burial record for one child. Investigators later found a mass grave containing the remains of babies and young children in an underground sewage structure on the grounds of the home, which was run by an order of Catholic nuns and closed in 1961. The last of Ireland’s mother-and-baby homes did not shut down until the late 1990s. The inquiry is part of a process of reckoning in overwhelmingly Roman Catholic Ireland to come to terms with a history of abuses in church-run institutions, including the shunning and shaming of unwed mothers, many of whom were pressured into giving up their babies for adoption.
